Občanství,Kód,Kód zn.,Kód zn.,Hlavní město Praha 2024 Q3,Středočeský kraj 2024 Q3,Jihočeský kraj 2024 Q3,Plzeňský kraj 2024 Q3,Karlovarský kraj 2024 Q3,Ústecký kraj 2024 Q3,Liberecký kraj 2024 Q3,Královéhradecký kraj 2024 Q3,Pardubický kraj 2024 Q3,Kraj Vysočina 2024 Q3,Jihomoravský kraj 2024 Q3,Olomoucký kraj 2024 Q3,Moravskoslezský kraj 2024 Q3,Zlínský kraj 2024 Q3,Středočeský kraj 2019 Q1,Jihočeský kraj 2019 Q1,Plzeňský kraj 2019 Q1,Karlovarský kraj 2019 Q1,Ústecký kraj 2019 Q1,Liberecký kraj 2019 Q1,Královéhradecký kraj 2019 Q1,Pardubický kraj 2019 Q1,Kraj Vysočina 2019 Q1,Jihomoravský kraj 2019 Q1,Olomoucký kraj 2019 Q1,Moravskoslezský kraj 2019 Q1,Zlínský kraj 2019 Q1,Středočeský kraj 2016 Q4,Jihočeský kraj 2016 Q4,Plzeňský kraj 2016 Q4,Karlovarský kraj 2016 Q4,Ústecký kraj 2016 Q4,Liberecký kraj 2016 Q4,Královéhradecký kraj 2016 Q4,Pardubický kraj 2016 Q4,Kraj Vysočina 2016 Q4,Jihomoravský kraj 2016 Q4,Olomoucký kraj 2016 Q4,Moravskoslezský kraj 2016 Q4,Zlínský kraj 2016 Q4,Středočeský kraj 2017 Q1,Jihočeský kraj 2017 Q1,Plzeňský kraj 2017 Q1,Karlovarský kraj 2017 Q1,Ústecký kraj 2017 Q1,Liberecký kraj 2017 Q1,Královéhradecký kraj 2017 Q1,Pardubický kraj 2017 Q1,Kraj Vysočina 2017 Q1,Jihomoravský kraj 2017 Q1,Olomoucký kraj 2017 Q1,Moravskoslezský kraj 2017 Q1,Zlínský kraj 2017 Q1,Středočeský kraj 2024 Q2,Jihočeský kraj 2024 Q2,Plzeňský kraj 2024 Q2,Karlovarský kraj 2024 Q2,Ústecký kraj 2024 Q2,Liberecký kraj 2024 Q2,Královéhradecký kraj 2024 Q2,Pardubický kraj 2024 Q2,Kraj Vysočina 2024 Q2,Jihomoravský kraj 2024 Q2,Olomoucký kraj 2024 Q2,Moravskoslezský kraj 2024 Q2,Zlínský kraj 2024 Q2,Středočeský kraj 2018 Q4,Jihočeský kraj 2018 Q4,Plzeňský kraj 2018 Q4,Karlovarský kraj 2018 Q4,Ústecký kraj 2018 Q4,Liberecký kraj 2018 Q4,Královéhradecký kraj 2018 Q4,Pardubický kraj 2018 Q4,Kraj Vysočina 2018 Q4,Jihomoravský kraj 2018 Q4,Olomoucký kraj 2018 Q4,Moravskoslezský kraj 2018 Q4,Zlínský kraj 2018 Q4,Středočeský kraj 2018 Q3,Jihočeský kraj 2018 Q3,Plzeňský kraj 2018 Q3,Karlovarský kraj 2018 Q3,Ústecký kraj 2018 Q3,Liberecký kraj 2018 Q3,Královéhradecký kraj 2018 Q3,Pardubický kraj 2018 Q3,Kraj Vysočina 2018 Q3,Jihomoravský kraj 2018 Q3,Olomoucký kraj 2018 Q3,Moravskoslezský kraj 2018 Q3,Zlínský kraj 2018 Q3,Středočeský kraj 2018 Q2,Jihočeský kraj 2018 Q2,Plzeňský kraj 2018 Q2,Karlovarský kraj 2018 Q2,Ústecký kraj 2018 Q2,Liberecký kraj 2018 Q2,Královéhradecký kraj 2018 Q2,Pardubický kraj 2018 Q2,Kraj Vysočina 2018 Q2,Jihomoravský kraj 2018 Q2,Olomoucký kraj 2018 Q2,Moravskoslezský kraj 2018 Q2,Zlínský kraj 2018 Q2,Středočeský kraj 2017 Q4,Jihočeský kraj 2017 Q4,Plzeňský kraj 2017 Q4,Karlovarský kraj 2017 Q4,Ústecký kraj 2017 Q4,Liberecký kraj 2017 Q4,Královéhradecký kraj 2017 Q4,Pardubický kraj 2017 Q4,Kraj Vysočina 2017 Q4,Jihomoravský kraj 2017 Q4,Olomoucký kraj 2017 Q4,Moravskoslezský kraj 2017 Q4,Zlínský kraj 2017 Q4,Středočeský kraj 2018 Q1,Jihočeský kraj 2018 Q1,Plzeňský kraj 2018 Q1,Karlovarský kraj 2018 Q1,Ústecký kraj 2018 Q1,Liberecký kraj 2018 Q1,Královéhradecký kraj 2018 Q1,Pardubický kraj 2018 Q1,Kraj Vysočina 2018 Q1,Jihomoravský kraj 2018 Q1,Olomoucký kraj 2018 Q1,Moravskoslezský kraj 2018 Q1,Zlínský kraj 2018 Q1,Středočeský kraj 2020 Q1,Jihočeský kraj 2020 Q1,Plzeňský kraj 2020 Q1,Karlovarský kraj 2020 Q1,Ústecký kraj 2020 Q1,Liberecký kraj 2020 Q1,Královéhradecký kraj 2020 Q1,Pardubický kraj 2020 Q1,Kraj Vysočina 2020 Q1,Jihomoravský kraj 2020 Q1,Olomoucký kraj 2020 Q1,Moravskoslezský kraj 2020 Q1,Zlínský kraj 2020 Q1,Středočeský kraj 2017 Q2,Jihočeský kraj 2017 Q2,Plzeňský kraj 2017 Q2,Karlovarský kraj 2017 Q2,Ústecký kraj 2017 Q2,Liberecký kraj 2017 Q2,Královéhradecký kraj 2017 Q2,Pardubický kraj 2017 Q2,Kraj Vysočina 2017 Q2,Jihomoravský kraj 2017 Q2,Olomoucký kraj 2017 Q2,Moravskoslezský kraj 2017 Q2,Zlínský kraj 2017 Q2,Středočeský kraj 2019 Q3,Jihočeský kraj 2019 Q3,Plzeňský kraj 2019 Q3,Karlovarský kraj 2019 Q3,Ústecký kraj 2019 Q3,Liberecký kraj 2019 Q3,Královéhradecký kraj 2019 Q3,Pardubický kraj 2019 Q3,Kraj Vysočina 2019 Q3,Jihomoravský kraj 2019 Q3,Olomoucký kraj 2019 Q3,Moravskoslezský kraj 2019 Q3,Zlínský kraj 2019 Q3,Středočeský kraj 2024 Q1,Jihočeský kraj 2024 Q1,Plzeňský kraj 2024 Q1,Karlovarský kraj 2024 Q1,Ústecký kraj 2024 Q1,Liberecký kraj 2024 Q1,Královéhradecký kraj 2024 Q1,Pardubický kraj 2024 Q1,Kraj Vysočina 2024 Q1,Jihomoravský kraj 2024 Q1,Olomoucký kraj 2024 Q1,Moravskoslezský kraj 2024 Q1,Zlínský kraj 2024 Q1,Středočeský kraj 2019 Q2,Jihočeský kraj 2019 Q2,Plzeňský kraj 2019 Q2,Karlovarský kraj 2019 Q2,Ústecký kraj 2019 Q2,Liberecký kraj 2019 Q2,Královéhradecký kraj 2019 Q2,Pardubický kraj 2019 Q2,Kraj Vysočina 2019 Q2,Jihomoravský kraj 2019 Q2,Olomoucký kraj 2019 Q2,Moravskoslezský kraj 2019 Q2,Zlínský kraj 2019 Q2,Středočeský kraj 2017 Q3,Jihočeský kraj 2017 Q3,Plzeňský kraj 2017 Q3,Karlovarský kraj 2017 Q3,Ústecký kraj 2017 Q3,Liberecký kraj 2017 Q3,Královéhradecký kraj 2017 Q3,Pardubický kraj 2017 Q3,Kraj Vysočina 2017 Q3,Jihomoravský kraj 2017 Q3,Olomoucký kraj 2017 Q3,Moravskoslezský kraj 2017 Q3,Zlínský kraj 2017 Q3,Součet
Kuba,192,CU,CUB,39,10,2,1,1,8,2,2,1,0,3,1,4,1,8,1,1,1,7,2,2,0,1,1,3,2,2,7,1,1,0,5,2,3,0,1,2,3,2,3,7,1,1,0,5,2,3,0,1,2,3,2,3,10,2,1,1,8,2,2,1,0,3,1,3,1,8,1,1,1,6,2,2,0,1,1,3,2,2,8,1,1,1,6,2,2,0,1,1,3,2,2,8,1,1,0,6,2,2,0,1,1,3,2,2,8,1,1,0,6,2,2,0,1,1,4,2,2,8,1,1,0,6,2,2,0,1,1,4,2,2,10,1,1,1,7,2,2,0,0,1,3,2,2,7,1,1,0,5,2,3,0,1,2,4,2,3,9,1,1,1,7,2,2,0,1,1,3,2,2,10,2,1,1,9,2,2,1,0,3,1,3,1,8,1,1,1,7,2,2,0,1,1,3,2,2,8,1,1,0,6,2,2,0,1,2,4,2,2,504
Gruzie,268,GE,GEO,99,17,3,1,4,3,1,1,2,4,4,1,2,1,10,2,1,5,1,1,0,1,0,4,1,2,0,7,2,2,6,2,1,0,1,0,3,0,3,0,7,2,2,6,2,1,0,1,0,3,0,3,0,18,3,1,4,3,1,1,2,4,4,1,2,1,10,2,1,5,1,1,0,1,0,4,1,2,0,9,2,1,5,1,1,0,1,0,4,1,2,0,9,2,1,5,1,1,0,1,0,4,0,3,0,9,2,1,5,1,1,0,1,0,4,0,3,0,9,2,1,5,1,1,0,1,0,4,0,3,0,11,2,6,5,2,1,0,1,0,5,1,2,0,7,2,1,6,1,1,0,1,0,4,0,3,0,10,2,2,5,1,1,0,1,0,5,1,2,0,15,3,2,4,3,1,0,1,3,5,1,2,1,11,2,2,5,1,1,0,1,0,5,1,2,0,8,2,1,5,1,1,0,1,0,4,0,3,0,497
Albánie,008,AL,ALB,24,9,1,1,1,3,2,1,2,4,4,2,3,5,6,2,1,1,3,1,2,1,1,2,0,2,4,8,4,1,1,2,1,2,1,1,2,1,1,4,8,4,1,1,3,1,2,1,1,2,1,1,4,9,1,2,1,3,2,1,2,3,4,1,3,5,6,4,1,1,3,1,2,1,1,2,0,2,4,7,4,1,1,3,1,2,1,1,2,1,2,4,7,4,1,1,3,1,2,1,1,2,1,2,4,7,4,1,1,3,1,2,1,1,2,1,2,4,8,4,1,1,3,1,2,1,1,2,1,2,4,7,2,1,1,4,1,1,1,1,2,0,2,4,7,4,1,1,3,1,2,1,1,2,1,1,4,7,2,1,1,3,1,2,1,1,1,0,2,4,11,2,2,1,3,2,1,2,3,3,1,3,5,7,2,1,1,3,1,2,1,1,2,0,2,4,7,4,1,1,3,1,2,1,1,2,1,1,4,486
Pákistán,586,PK,PAK,68,7,1,5,3,5,1,1,0,2,6,1,3,0,10,0,5,1,5,0,1,0,1,4,1,1,0,10,0,5,0,5,0,2,0,1,3,1,1,0,10,0,5,0,6,0,2,0,1,2,1,1,0,8,1,5,3,5,1,1,0,2,6,1,3,0,10,0,5,1,5,0,1,0,1,4,1,1,0,10,0,5,1,5,0,2,0,1,4,1,1,0,10,0,5,0,6,0,2,0,1,4,1,1,0,9,0,5,0,6,0,2,0,1,4,1,1,0,9,0,5,0,6,0,2,0,1,4,1,1,0,8,1,5,0,4,0,1,0,1,5,1,3,0,10,0,5,0,5,0,2,0,1,3,1,1,0,11,0,5,1,4,0,1,0,1,5,1,2,0,9,1,5,2,4,1,1,0,2,5,1,3,0,10,0,5,1,5,0,1,0,1,5,1,1,0,9,0,5,0,5,0,2,0,1,4,1,1,0,483
Peru,604,PE,PER,27,17,1,1,0,5,1,2,2,0,7,1,2,0,10,0,0,0,6,0,1,0,0,8,1,2,0,10,0,0,0,5,0,1,0,0,8,1,2,1,9,0,0,0,5,0,1,0,0,8,1,2,0,16,1,1,0,5,1,2,1,0,7,1,2,0,10,0,0,0,5,0,1,0,0,7,1,2,0,10,0,0,0,5,0,1,0,0,7,1,2,0,10,0,0,0,5,0,1,0,0,7,1,2,0,9,0,0,0,5,0,1,0,0,8,1,2,0,9,0,0,0,5,0,1,0,0,7,1,2,0,11,0,0,0,6,1,1,0,0,8,1,2,0,9,0,0,0,5,0,1,0,0,8,1,2,0,10,0,0,0,6,1,1,0,0,8,1,2,0,16,1,1,0,5,1,2,1,0,7,1,2,0,10,0,0,0,6,0,1,0,0,8,1,2,0,9,0,0,0,5,0,1,0,0,8,1,2,0,463
Jižní Afrika,710,ZA,ZAF,39,7,1,1,3,1,1,0,1,0,9,4,1,4,6,3,0,2,2,1,0,0,0,9,2,1,2,4,3,0,1,2,1,1,0,0,8,2,1,2,4,4,0,1,2,1,1,0,0,8,2,1,2,6,1,1,2,1,1,0,1,0,9,4,1,5,6,3,0,2,1,1,0,0,0,9,2,1,2,6,3,0,2,1,1,0,0,0,9,2,1,2,5,3,0,2,1,1,0,0,0,9,2,1,2,5,4,0,2,1,1,1,0,0,8,2,1,2,5,3,0,2,1,1,1,0,0,8,2,1,2,8,3,0,2,2,1,0,0,0,8,3,1,2,4,4,0,1,2,1,1,0,0,8,2,1,2,9,3,0,2,2,1,0,0,0,10,2,1,2,7,1,1,2,1,1,0,0,0,9,4,1,5,6,3,0,2,2,1,0,0,0,9,2,1,2,5,4,0,2,1,1,1,0,0,8,2,1,2,452
Japonsko,392,JP,JPN,82,14,0,2,0,3,1,2,2,0,7,1,2,0,9,0,0,0,3,0,2,2,0,6,2,1,1,6,0,0,0,2,0,2,2,1,6,1,1,1,6,0,0,0,2,0,2,2,1,6,1,1,1,13,0,2,0,3,1,2,2,0,8,1,2,0,8,0,0,0,3,0,2,2,0,6,2,1,1,8,0,0,0,3,0,2,2,0,5,2,1,1,8,0,0,0,3,0,2,2,1,5,2,1,1,8,0,0,0,3,0,2,2,1,6,1,1,1,8,0,0,0,3,0,2,2,1,5,1,1,1,11,0,0,0,3,1,2,2,0,6,2,1,1,7,0,0,0,2,0,2,2,1,6,1,1,1,10,1,0,0,3,0,2,2,0,5,2,1,1,13,0,2,0,3,1,2,2,0,6,1,2,0,10,1,0,0,3,0,2,2,0,6,2,1,1,8,0,0,0,3,0,2,2,1,6,1,1,1,425
Libanon,422,LB,LBN,38,7,0,2,1,11,2,2,1,1,0,5,1,1,4,1,2,1,7,2,1,4,1,0,2,1,0,1,1,2,1,6,2,1,3,1,0,2,0,0,1,1,2,1,6,2,1,4,1,0,2,1,0,7,0,2,1,11,2,2,1,1,0,5,1,1,4,1,2,1,7,2,1,4,1,0,2,1,0,4,1,2,1,7,2,1,4,1,0,1,1,0,4,1,2,1,7,2,1,4,1,0,2,1,0,2,1,2,1,6,2,1,4,1,0,2,1,0,3,1,2,1,7,2,1,4,1,0,2,1,0,5,1,2,1,7,2,3,2,1,0,2,1,0,1,1,2,1,6,2,1,4,1,0,2,1,0,4,1,2,1,7,2,3,3,1,0,2,1,0,7,0,2,1,11,2,2,1,1,0,4,1,2,4,1,2,1,7,2,2,3,1,0,2,1,0,2,1,2,1,6,2,1,4,1,0,2,1,0,420
Alandy,248,AX,ALA,6,4,1,0,1,4,1,1,0,0,4,0,3,0,5,0,0,4,4,1,2,0,0,6,1,3,0,6,0,0,6,4,1,2,0,0,6,1,5,0,6,0,0,6,4,1,2,0,0,6,1,4,0,4,1,0,1,4,1,1,0,0,4,0,3,0,5,0,0,4,5,1,2,0,0,6,1,3,0,5,0,0,4,5,1,2,0,0,6,1,3,0,5,0,0,5,5,1,2,0,0,6,1,3,0,5,0,0,6,5,1,2,0,0,6,1,4,0,5,0,0,6,5,1,2,0,0,6,1,3,0,4,0,0,4,4,1,2,0,0,6,1,3,0,6,0,0,6,4,1,2,0,0,6,1,4,0,4,0,0,4,4,1,2,0,0,6,1,3,0,4,1,0,1,4,1,1,0,0,4,0,3,0,4,0,0,4,4,1,2,0,0,6,1,3,0,6,0,0,6,4,1,2,0,0,6,1,4,0,420
Ázerbájdžán,031,AZ,AZE,139,15,2,5,5,7,0,1,3,2,7,4,3,0,4,1,1,4,4,0,1,1,0,1,4,0,0,3,0,2,4,4,0,1,0,0,2,4,0,0,5,0,2,4,4,0,1,0,0,2,4,0,0,14,2,4,5,5,1,2,2,2,7,4,2,0,4,1,1,4,4,0,1,1,0,1,4,0,0,4,1,1,3,4,0,1,0,0,2,4,0,0,5,1,1,3,4,0,1,0,0,3,4,0,0,4,1,1,4,4,0,1,0,0,2,3,0,0,5,1,1,3,4,0,1,0,0,2,4,0,0,6,1,1,4,4,0,2,1,0,1,3,1,0,4,1,1,4,4,0,1,0,0,2,3,0,0,4,1,1,4,3,0,2,1,0,1,3,1,0,14,2,3,5,5,1,1,1,1,6,3,2,0,5,1,1,4,3,0,1,1,0,1,3,0,0,4,1,1,4,4,0,1,0,0,2,3,0,0,420
Dánsko,208,DK,DNK,69,9,2,1,0,3,7,0,0,1,5,0,6,1,7,1,1,1,4,2,0,0,2,3,0,4,1,6,0,1,1,4,1,0,0,1,3,1,4,1,6,0,1,1,4,1,0,0,1,3,1,4,1,9,2,1,0,3,7,0,0,1,4,0,6,1,7,0,1,1,4,4,0,0,2,3,0,4,1,7,0,1,1,4,2,0,0,2,3,0,4,1,6,0,1,1,4,2,1,0,2,3,0,4,1,6,0,1,1,4,1,0,0,1,3,0,4,1,6,0,1,1,4,2,0,0,1,3,0,4,1,7,0,1,1,4,4,0,0,2,3,0,4,1,6,0,1,1,4,1,0,0,1,3,0,4,1,7,1,1,1,4,2,0,0,2,3,0,4,1,9,2,1,0,3,7,0,0,1,4,0,4,1,7,1,1,1,4,2,0,0,2,3,0,4,1,6,0,1,1,4,1,0,0,1,3,0,4,1,418
Mexiko,484,MX,MEX,77,16,4,1,0,1,0,4,3,1,11,1,4,5,8,1,2,0,0,0,3,2,0,3,1,2,1,2,1,2,1,0,0,2,2,0,3,1,2,0,2,1,2,1,0,0,2,2,0,3,1,2,0,16,4,1,0,1,0,4,3,0,11,1,4,5,7,1,3,1,0,0,3,2,0,2,1,2,0,6,1,3,1,0,0,3,2,0,2,1,2,0,6,1,2,1,0,0,2,2,0,2,1,2,0,4,1,1,1,0,0,2,2,0,2,1,2,0,4,1,1,1,0,0,2,2,0,2,1,2,0,8,2,1,1,0,0,3,2,0,4,1,2,1,3,1,2,1,0,0,2,2,0,3,1,2,0,7,1,2,0,0,0,3,2,0,3,1,2,1,12,4,1,0,1,0,4,3,0,10,1,3,4,7,1,2,0,0,0,3,2,0,3,1,2,1,4,1,2,1,0,0,2,2,0,2,1,2,0,396
Ghana,288,GH,GHA,56,6,0,2,0,7,1,2,5,0,12,1,0,1,4,0,0,0,7,1,1,3,0,3,1,0,1,4,0,0,0,7,1,1,3,0,3,1,0,1,3,0,0,0,7,1,1,3,0,3,1,0,1,6,0,2,0,6,1,2,5,0,12,1,0,1,4,0,0,0,7,1,1,3,0,3,1,0,1,4,0,0,0,7,1,1,3,0,4,2,0,1,4,0,0,0,7,1,1,3,0,5,2,0,1,4,0,0,0,7,1,1,3,0,5,1,0,1,4,0,0,0,7,1,1,3,0,5,2,0,1,3,0,0,0,7,1,1,3,0,3,1,0,1,3,0,0,0,7,1,1,3,0,3,1,0,1,4,0,0,0,7,1,1,3,0,3,1,0,1,6,0,1,0,6,2,2,6,0,12,1,0,1,4,0,0,0,7,1,1,3,0,3,1,0,1,3,0,0,0,7,1,1,3,0,4,1,0,1,390
Angola,024,AO,AGO,11,2,1,0,0,2,3,1,1,0,7,2,1,2,2,2,0,0,2,3,1,1,0,6,3,1,2,2,2,0,0,3,2,1,1,0,6,3,2,2,2,2,0,0,3,2,1,1,0,6,3,2,2,2,1,0,0,2,3,1,1,0,6,2,1,2,2,2,0,0,2,3,1,1,0,6,3,1,2,2,2,0,0,2,3,1,1,0,6,3,1,2,2,2,0,0,2,3,1,1,0,6,3,1,2,2,2,0,0,2,3,1,1,0,6,3,1,2,2,2,0,0,2,3,1,1,0,6,3,1,2,2,2,0,0,2,3,1,1,0,6,3,1,2,2,2,0,0,3,2,1,1,0,6,3,2,2,2,2,0,0,2,3,1,1,0,6,3,1,2,2,1,0,0,2,3,1,1,0,6,3,1,2,2,2,0,0,2,3,1,1,0,6,3,1,2,2,2,0,0,2,3,1,1,0,6,3,1,2,367
Brazílie,076,BR,BRA,76,3,0,3,1,3,1,1,0,1,7,1,4,2,5,2,2,0,2,0,1,1,0,7,1,1,0,2,2,1,0,3,0,1,2,0,4,0,2,0,2,2,1,0,3,0,1,2,0,5,0,2,0,4,0,2,1,3,1,1,0,1,7,1,4,2,5,2,2,0,2,0,1,1,0,7,1,1,0,5,3,1,0,3,0,1,1,0,7,1,2,0,4,3,1,0,3,0,1,1,0,6,1,2,0,2,3,1,0,3,0,1,1,0,6,0,2,0,2,3,1,0,3,0,1,1,0,6,0,1,0,9,2,2,0,1,0,2,1,0,7,1,1,0,2,2,1,0,3,0,1,2,0,6,0,2,0,8,2,2,0,1,0,2,1,0,9,2,1,0,4,0,2,1,3,1,1,0,1,7,0,4,2,7,2,2,0,2,0,2,1,0,7,2,1,0,2,3,1,0,3,0,1,1,0,6,0,2,0,360
Filipíny,608,PH,PHL,81,15,4,1,2,8,0,3,0,3,7,1,7,4,3,1,2,0,6,1,0,0,0,1,0,0,2,2,0,1,0,6,0,0,0,0,0,0,0,1,4,0,2,0,6,0,0,0,0,0,0,0,2,15,4,1,2,7,0,3,0,2,6,1,6,4,2,2,2,0,5,1,0,0,0,1,0,0,2,2,2,2,0,5,0,0,0,0,2,0,0,2,3,1,2,0,5,0,0,0,0,2,0,0,2,3,1,2,0,5,0,0,0,0,2,0,0,2,3,1,2,0,5,0,0,0,0,2,0,0,2,5,2,2,1,6,1,0,0,1,1,1,0,2,4,0,2,0,5,0,0,0,0,0,0,0,2,4,1,2,0,6,1,0,0,1,1,0,0,2,13,4,1,2,8,0,3,0,1,4,1,6,4,3,1,2,0,6,1,0,0,0,1,0,0,2,4,0,2,0,5,0,0,0,0,0,0,0,2,350
Maroko,504,MA,MAR,44,9,1,1,0,5,3,1,0,1,5,2,4,2,7,0,0,0,3,2,0,0,1,2,1,3,1,7,0,0,0,2,2,0,0,0,1,1,2,1,7,0,0,0,2,2,0,0,0,1,1,2,1,9,1,1,0,7,3,1,0,1,6,2,4,2,6,0,0,0,3,3,0,0,0,1,1,3,1,6,0,0,0,3,3,0,0,0,1,1,3,1,5,0,0,0,3,3,0,0,0,1,1,3,1,5,0,0,0,3,3,0,0,0,1,1,2,1,5,0,0,0,3,3,0,0,0,1,1,3,1,5,0,0,0,4,2,0,0,1,4,2,3,2,5,0,0,0,3,2,0,0,0,1,1,2,1,6,0,0,0,4,2,0,0,1,3,2,3,2,7,1,1,0,7,3,1,0,1,6,2,4,2,6,0,0,0,3,2,0,0,1,2,1,3,1,5,0,0,0,3,3,0,0,0,1,1,2,1,340
Írán,364,IR,IRN,40,7,0,2,1,0,1,3,0,1,8,3,4,1,4,1,4,0,0,4,1,0,0,2,2,0,2,3,1,3,0,0,3,1,0,0,1,2,0,1,3,1,4,0,0,4,1,0,0,1,2,0,1,7,1,2,1,0,1,3,0,1,7,3,4,1,4,1,4,0,0,5,1,0,0,1,2,0,2,3,1,4,0,0,4,1,0,0,1,2,0,2,3,1,4,0,0,4,1,0,0,1,2,0,1,3,1,4,0,0,4,1,0,0,1,2,0,1,3,1,4,0,0,4,1,0,0,1,2,0,1,5,1,4,0,0,3,1,0,1,1,2,0,1,3,1,4,0,0,4,1,0,0,1,2,0,1,5,1,4,0,0,3,1,0,1,2,2,0,1,6,1,2,1,0,1,3,0,1,6,3,4,1,5,1,4,0,0,3,1,0,0,2,2,0,2,3,1,4,0,0,4,1,0,0,1,2,0,1,325
Jemen,887,YE,YEM,8,4,0,1,0,9,1,1,2,0,2,2,2,0,3,0,2,0,5,1,0,1,1,2,1,2,0,1,0,2,0,3,1,0,0,1,3,1,1,0,1,0,2,0,3,1,0,0,1,3,1,1,0,4,0,1,0,9,1,1,2,0,2,2,2,0,1,0,2,0,5,1,0,1,1,2,1,2,0,1,0,2,0,4,1,0,1,1,3,1,2,0,1,0,2,0,4,1,0,1,1,3,1,2,0,2,0,2,0,3,1,0,1,2,3,1,2,0,2,0,2,0,4,1,0,1,1,3,1,2,0,2,0,2,0,7,1,0,1,0,2,1,2,0,1,0,2,0,3,1,0,0,2,3,1,1,0,3,0,2,0,6,1,0,1,0,2,1,2,0,4,0,1,0,9,1,1,2,0,2,2,2,0,3,0,2,0,5,1,0,1,1,2,1,2,0,2,0,2,0,3,1,0,1,2,3,1,2,0,283
Jordánsko,400,JO,JOR,23,3,0,0,1,4,0,0,3,0,2,0,3,1,4,0,0,2,4,1,0,2,0,2,0,3,1,5,0,0,1,3,1,0,2,0,2,0,1,1,4,0,0,1,3,1,0,2,0,2,0,1,1,2,0,0,1,4,0,0,3,0,2,0,3,1,4,0,0,2,4,1,0,2,0,2,0,3,1,4,0,0,2,4,1,0,2,0,2,0,3,1,4,0,0,2,4,1,0,2,0,2,0,1,1,4,0,0,2,3,1,0,2,0,2,0,1,1,4,0,0,2,4,1,0,2,0,2,0,1,1,4,0,0,3,4,0,0,2,0,3,0,4,1,4,0,0,1,3,1,0,2,0,2,0,1,1,4,0,0,3,4,0,0,2,0,2,0,4,1,3,0,0,1,4,0,0,3,0,2,0,3,1,4,0,0,3,4,1,0,2,0,2,0,4,1,4,0,0,1,3,1,0,2,0,2,0,1,1,280
Korejská republika,410,KR,KOR,80,5,1,2,1,0,0,0,0,1,2,0,10,0,3,1,2,0,0,0,0,0,1,2,0,8,0,1,1,1,0,0,0,0,0,0,2,1,10,0,2,1,1,0,0,0,0,0,0,1,1,10,0,4,1,2,1,0,0,0,0,1,2,0,10,0,2,1,2,0,0,0,0,0,1,2,0,8,0,2,1,2,0,0,0,0,0,1,1,0,7,0,2,1,2,0,0,0,0,0,1,1,0,6,0,1,1,2,0,0,0,0,0,1,1,1,7,0,2,1,2,0,0,0,0,0,1,1,0,6,0,3,1,2,0,0,0,0,0,1,2,0,6,0,1,1,2,0,0,0,0,0,1,1,1,10,0,4,1,2,0,0,0,0,0,1,2,0,8,0,3,1,2,1,0,0,0,0,1,2,0,9,0,3,1,2,0,0,0,0,0,1,2,0,7,0,1,1,2,0,0,0,0,0,1,1,1,9,0,263
Finsko,246,FI,FIN,63,7,1,2,2,1,0,1,1,0,9,1,2,0,3,0,1,0,2,0,1,0,1,4,1,1,0,3,0,0,0,2,0,1,0,1,3,2,0,0,3,0,0,0,2,0,1,0,1,3,2,0,0,7,1,2,2,1,0,1,1,0,9,1,2,0,3,0,1,0,2,0,1,0,1,4,1,1,0,3,0,0,0,2,0,1,0,1,4,1,0,0,3,0,0,0,2,0,1,0,1,4,1,0,0,2,0,0,0,2,0,1,0,1,4,1,0,0,2,0,0,0,2,0,1,0,1,4,1,0,0,4,0,1,0,2,0,1,0,1,4,1,1,0,3,0,0,0,2,0,1,0,1,4,2,0,0,4,0,1,0,2,0,1,0,1,4,1,1,0,7,1,2,2,1,0,1,1,1,9,1,2,0,4,0,1,0,2,0,1,0,1,4,1,1,0,3,0,0,0,2,0,1,0,1,4,1,0,0,250
Černá Hora,499,ME,MNE,22,4,0,2,2,3,2,1,0,0,0,2,1,0,2,0,2,2,2,1,1,0,0,1,2,1,0,2,0,2,3,2,1,1,0,0,2,2,1,0,3,0,2,3,2,1,1,0,0,1,2,1,0,4,0,2,2,3,2,1,0,0,0,2,1,0,2,0,2,2,2,1,1,0,0,1,2,1,0,2,0,2,2,2,0,1,0,0,1,2,1,0,2,0,2,3,2,0,1,0,0,1,2,1,0,3,0,2,3,2,0,1,0,0,1,2,1,0,3,0,2,3,2,0,1,0,0,1,2,1,0,3,0,3,2,2,1,1,0,0,1,2,1,0,3,0,2,3,2,0,1,0,0,1,2,1,0,3,0,2,2,2,1,1,0,0,1,2,1,0,3,0,3,2,3,2,1,0,0,0,2,1,0,2,0,2,2,2,1,1,0,0,1,2,1,0,3,0,2,3,2,0,1,0,0,1,2,1,0,243
