Občanství,Kód,Kód zn.,Kód zn..1,Hlavní město Praha,Středočeský kraj,Jihočeský kraj,Plzeňský kraj,Karlovarský kraj,Ústecký kraj,Liberecký kraj,Královéhradecký kraj,Pardubický kraj,Kraj Vysočina,Jihomoravský kraj,Olomoucký kraj,Moravskoslezský kraj,Zlínský kraj,Součet,Rok,Q
Slovensko,703,SK,SVK,6131,2189,475,634,257,564,410,406,391,307,2200,482,1245,825,16516,2017,2
Vietnam,704,VN,VNM,4145,1918,994,2465,3076,3563,769,564,508,419,1379,553,1114,306,21773,2017,2
Slovinsko,705,SI,SVN,34,6,2,0,3,3,2,1,1,0,9,0,5,2,68,2017,2
Somálsko,706,SO,SOM,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2017,2
Jižní Afrika,710,ZA,ZAF,29,5,4,0,2,1,1,1,0,0,8,2,1,2,56,2017,2
Zimbabwe,716,ZW,ZWE,2,1,0,0,0,0,0,0,0,0,1,0,0,0,4,2017,2
Španělsko,724,ES,ESP,246,16,5,4,2,6,6,4,6,1,25,8,9,3,341,2017,2
Súdán,729,SD,SDN,5,1,0,0,0,2,0,0,0,0,0,0,0,0,8,2017,2
Surinam,740,SR,SUR,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2017,2
Švédsko,752,SE,SWE,60,10,1,2,1,13,2,0,0,3,8,0,3,0,103,2017,2
Švýcarsko,756,CH,CHE,31,8,3,1,6,2,4,1,1,1,5,0,3,2,68,2017,2
Sýrie,760,SY,SYR,43,16,3,11,4,16,7,7,1,1,25,6,18,3,161,2017,2
Tádžikistán,762,TJ,TJK,10,0,0,0,0,0,0,0,0,0,1,0,0,0,11,2017,2
Thajsko,764,TH,THA,82,10,4,7,2,3,1,1,1,0,5,1,2,2,121,2017,2
Spojené arabské emiráty,784,AE,ARE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2017,2
Tunisko,788,TN,TUN,73,20,4,4,2,7,3,4,2,0,6,3,6,1,135,2017,2
Turecko,792,TR,TUR,67,17,7,6,5,19,4,5,4,2,9,5,7,5,162,2017,2
Turkmenistán,795,TM,TKM,5,1,0,0,0,0,0,0,0,0,1,0,0,0,7,2017,2
Uganda,800,UG,UGA,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2017,2
Ukrajina,804,UA,UKR,9775,2912,641,1308,606,1134,699,841,802,422,1687,388,273,258,21746,2017,2
Makedonie,807,MK,MKD,121,32,6,9,2,48,1,7,1,2,19,15,32,7,302,2017,2
Egypt,818,EG,EGY,26,13,3,2,3,7,3,6,3,1,9,7,6,2,91,2017,2
Velká Británie,826,GB,GBR,957,172,41,55,19,35,65,32,46,24,124,40,61,42,1713,2017,2
Guernsey,831,GG,GGY,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2017,2
Tanzanie,834,TZ,TZA,3,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2017,2
Spojené státy,840,US,USA,1058,90,39,24,7,25,23,20,11,8,53,23,34,19,1434,2017,2
Burkina Faso,854,BF,BFA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2017,2
Uruguay,858,UY,URY,1,2,0,1,0,0,0,0,0,0,0,0,0,0,4,2017,2
Uzbekistán,860,UZ,UZB,312,16,1,16,5,6,3,6,4,3,7,1,1,0,381,2017,2
Venezuela,862,VE,VEN,20,1,0,0,0,0,0,1,0,0,3,0,0,0,25,2017,2
Jemen,887,YE,YEM,8,2,0,2,0,3,1,0,1,2,3,1,2,0,25,2017,2
Srbsko a Černá Hora,891,CS,SCG,242,52,15,15,10,23,10,5,1,2,19,8,15,7,424,2017,2
Zambie,894,ZM,ZMB,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2017,2
Součet,SUM1,,,333110,260429,123562,108504,55115,131678,91904,106641,90690,85693,219549,106839,187700,108513,2009927,2017,2
Z toho cizinci,SUM2,,,32600,9612,2817,5538,4899,7814,2563,2579,2144,1500,7063,2148,4118,1833,87228,2017,2
