Občanství,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2020 Q1,2024 Q1,2024 Q2,2024 Q3
Nová Kaledonie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nový Zéland,26,28,28,28,30,32,32,33,32,31,32,30,33,40,39,40
Německo,3109,3104,3109,3105,3120,3131,3157,3163,3161,3129,3091,3067,3062,3348,3367,3333
Omán,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palestina,8,9,10,10,12,12,12,12,12,10,10,9,10,14,14,14
Panama,1,1,2,2,3,2,2,3,4,5,5,5,4,6,6,6
Papua Nová Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,3,4,3,2,2,2,3,3,2,3,3,3,3,1,1,2
Peru,43,43,45,45,45,43,45,45,46,47,47,47,49,63,63,66
Pitcairn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pobřeží slonoviny,14,14,15,15,15,15,16,16,16,16,16,16,15,16,17,18
Polsko,2268,2345,2389,2422,2436,2476,2474,2512,2545,2565,2611,2633,2672,2968,2960,2989
Portoriko,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Portugalsko,66,71,74,73,77,80,83,83,86,94,98,101,105,170,184,186
Pákistán,69,71,70,70,73,73,74,74,74,76,78,78,78,101,103,103
Rakousko,486,490,501,506,508,512,514,515,514,507,504,506,503,484,487,489
Rovníková Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rumunsko,1254,1327,1376,1411,1443,1496,1560,1653,1725,1809,1926,1994,2116,3144,3232,3302
Rusko,2700,2756,2811,2793,2855,2928,3014,3019,3106,3208,3303,3322,3527,5218,5387,5418
Rwanda,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1
Réunion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Pierre a Miquelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salvador,2,2,3,3,2,2,2,2,2,2,2,2,2,5,4,4
Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Marino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saúdská Arábie,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Senegal,16,15,15,16,16,16,16,16,16,16,15,15,18,21,21,21
Severní Makedonie,0,0,0,0,0,0,0,0,0,0,312,309,333,350,359,369
Severní Mariany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychely,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,1,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3
Singapur,2,2,2,3,3,3,2,1,2,1,2,3,3,8,8,9
Slovensko,15442,15722,16033,16304,16516,16809,17150,17473,17711,18119,18410,18788,19381,24556,24923,25389
Slovinsko,66,66,68,67,68,67,70,74,79,80,82,80,81,99,97,96
Somálsko,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
Součet,1996337,1998904,2003040,2008890,2009927,2014370,2018841,2025525,2028496,2034238,2040747,2048592,2057002,1907890,1906040,1918160
Spojené arabské emiráty,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3
Spojené státy,1363,1424,1467,1404,1434,1554,1602,1576,1619,1684,1726,1679,1735,1796,1775,1730
Srbsko,192,198,195,195,202,205,207,213,212,217,229,232,246,364,367,370
Srbsko a Černá Hora,461,448,436,430,424,422,421,418,410,410,406,405,392,309,297,294
Středoafrická republika,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Surinam,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2
Svatá Helena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Svatá Helena, Ascension a Tristan da Cunha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Svatá Lucie,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Svatý Bartoloměj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Svatý Kryštof a Nevis,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1
Svatý Martin (FR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Svatý Martin (NL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Svatý Tomáš a Princův ostrov,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
Svatý Vincenc a Grenadiny,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Svazijsko,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Súdán,7,7,7,7,8,8,8,8,7,7,7,7,7,8,8,9
Sýrie,157,160,161,158,161,158,163,164,165,169,176,176,184,217,218,221
Tanzanie,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5
Tchaj-wan,12,12,11,9,9,10,13,12,12,14,18,18,21,24,24,23
Thajsko,128,122,116,118,121,122,126,133,131,136,143,145,155,260,265,272
Togo,0,0,0,0,0,1,1,1,1,2,2,2,2,3,3,4
Tokelau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tonga,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Trinidad a Tobago,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1
Tunisko,114,119,122,128,135,138,141,144,149,161,164,169,174,257,261,267
Turecko,133,139,149,156,162,164,167,172,174,184,188,193,196,378,394,392
Turkmenistán,7,6,6,7,7,7,8,7,6,6,6,7,8,12,13,13
Turks a Caicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tádžikistán,9,9,9,9,11,12,13,13,13,13,13,12,13,36,35,34
Uganda,2,3,2,2,2,2,3,3,3,4,4,4,4,9,9,11
Ukrajina,22150,22136,22087,21926,21746,21730,21830,21762,21881,22065,22408,22724,23220,33570,38144,39871
Uruguay,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Uzbekistán,342,343,356,360,381,366,388,364,352,367,373,361,355,746,766,761
Vanuatu,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
Vatikán,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Velká Británie,1603,1656,1679,1696,1713,1747,1753,1765,1797,1837,1856,1879,1925,0,0,0
Velká Británie a Severní Irsko,0,0,0,0,0,0,0,0,0,0,0,0,0,1675,1690,1696
Venezuela,19,23,23,23,25,31,33,32,32,35,33,34,34,36,38,41
Vietnam,22415,22303,22182,22012,21773,21607,21500,21337,21172,21049,20904,20789,20662,20890,20977,21106
Vánoční ostrov,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
