Občanství,Kód,Kód zn.,Kód zn.,Hlavní město Praha 2018 Q3,Středočeský kraj 2018 Q3,Jihočeský kraj 2018 Q3,Plzeňský kraj 2018 Q3,Karlovarský kraj 2018 Q3,Ústecký kraj 2018 Q3,Liberecký kraj 2018 Q3,Královéhradecký kraj 2018 Q3,Pardubický kraj 2018 Q3,Kraj Vysočina 2018 Q3,Jihomoravský kraj 2018 Q3,Olomoucký kraj 2018 Q3,Moravskoslezský kraj 2018 Q3,Zlínský kraj 2018 Q3
Togo,768,TG,TGO,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Spojené arabské emiráty,784,AE,ARE,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Tunisko,788,TN,TUN,73,23,3,4,2,8,4,5,2,1,9,3,6,1
Turecko,792,TR,TUR,72,16,6,6,5,19,7,5,4,3,9,5,9,6
Turkmenistán,795,TM,TKM,5,1,0,0,0,0,0,0,0,0,1,0,0,0
Uganda,800,UG,UGA,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Ukrajina,804,UA,UKR,9802,2977,640,1300,620,1151,706,828,780,408,1607,422,273,248
Makedonie,807,MK,MKD,126,30,6,8,3,51,1,7,1,2,19,16,34,7
Egypt,818,EG,EGY,25,14,3,1,4,8,5,8,6,2,9,7,10,3
Velká Británie,826,GB,GBR,980,189,43,52,17,37,65,30,46,25,133,43,61,44
Guernsey,831,GG,GGY,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tanzanie,834,TZ,TZA,3,0,0,0,0,0,0,0,0,0,0,0,1,0
Spojené státy,840,US,USA,1177,101,39,26,7,29,23,21,12,8,55,22,34,22
Burkina Faso,854,BF,BFA,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay,858,UY,URY,1,2,0,1,0,0,0,0,0,0,0,0,0,0
Uzbekistán,860,UZ,UZB,291,21,2,14,6,5,3,8,2,3,6,3,0,0
Venezuela,862,VE,VEN,26,1,0,0,0,0,0,1,0,0,3,0,1,0
Jemen,887,YE,YEM,9,1,0,2,0,4,1,0,1,1,3,1,2,0
Srbsko a Černá Hora,891,CS,SCG,241,51,15,15,10,22,9,5,1,2,19,7,14,7
Zambie,894,ZM,ZMB,2,2,0,0,0,0,0,1,0,0,0,0,0,0
